0.003,3,3
0.006,1,1
0.004,1,1
0.001,1,1
0.007,1,1
0.005,1,1
0,1,1
0.009,1,1
0.002,1,1
0.01,1,1
0.012,1,1
0.011,1,1
0.017,1,1
0.018,1,1
0.019,1,1
0.02,1,1
0.021,2,4
0.024,2,4
0.023,2,4
0.022,2,4
0.025,2,4
0.027,2,4
0.026,2,4
0.028,2,4
0.03,1,1
0.031,1,1
0.029,1,1
0.034,1,1
0.032,1,1
0.035,1,1
0.033,1,1
0.036,11,11
0.037,11,11
0.038,11,11
0.044,11,11
0.04,11,11
0.041,11,11
0.043,11,11
0.048,3,1
0.042,3,1
0.045,3,1
0.047,3,1
0.046,3,1
0.039,3,1
0.049,3,1
0.05,3,1
0.052,3,1
0.053,3,1
0.051,3,1
0.054,3,1
0.055,3,1
0.056,3,1
0.058,3,1
0.057,3,1
0.059,1,1
0.06,1,1
0.061,1,1
0.062,1,1
0.063,1,1
0.064,1,1
0.065,1,1
0.068,1,1
0.066,1,1
0.07,1,1
0.067,1,1
0.071,1,1
0.069,1,1
0.074,1,1
0.072,1,1
0.076,1,1
0.073,1,1
0.075,1,1
0.077,1,1
0.079,1,1
0.078,1,1
0.081,1,1
0.08,1,1
0.082,1,1
0.083,1,1
0.085,1,1
0.084,1,1
0.086,1,1
0.088,1,1
0.087,1,1
0.089,1,1
0.091,1,1
0.09,1,1
0.093,1,1
0.094,1,1
0.092,1,1
0.097,1,1
0.095,1,1
0.096,1,1
0.099,1,1
0.102,1,1
0.098,1,1
0.1,1,1
0.101,1,1
0.103,1,1
0.105,1,1
0.104,1,1
0.106,1,1
0.107,1,1
0.108,1,1
0.11,1,1
0.109,1,1
0.111,1,1
0.113,1,1
0.112,11,17
0.118,11,17
0.116,11,17
0.115,11,17
0.125,1,1
0.127,1,1
0.117,1,1
0.122,1,1
0.124,1,1
0.114,1,1
0.12,1,1
0.128,1,1
0.121,1,1
0.123,1,1
0.126,1,1
0.119,1,1
0.129,1,1
0.131,1,1
0.132,1,1
0.133,1,1
0.13,1,1
0.136,1,1
0.137,1,1
0.138,1,1
0.139,1,1
0.142,1,1
0.134,1,1
0.141,1,1
0.14,1,1
0.143,1,1
0.144,1,1
0.145,1,1
0.146,1,1
0.147,1,1
0.149,1,1
0.151,1,1
0.148,1,1
0.15,1,1
0.135,1,1
0.152,1,1
0.154,1,1
0.153,1,1
0.155,1,1
0.157,1,1
0.158,1,1
0.156,1,1
0.16,1,1
0.159,1,1
0.161,1,1
0.162,1,1
